Time,Emotion,Confidence
12:27:17 PM,neutral,84.2
12:27:23 PM,sad,89.0
12:27:28 PM,sad,70.9
12:27:33 PM,sad,93.8
12:27:38 PM,sad,96.7
12:27:43 PM,sad,98.0
12:27:49 PM,sad,61.3
12:27:54 PM,sad,99.9
12:28:01 PM,sad,73.6
12:28:06 PM,sad,79.9
12:28:11 PM,sad,95.8
12:28:16 PM,sad,79.6
12:28:21 PM,sad,94.9
12:28:27 PM,sad,50.2
12:28:42 PM,sad,44.7
12:28:47 PM,sad,56.3
12:28:53 PM,sad,96.9
06:54:01 AM,,98.9
06:54:02 AM,sad,100.0
06:54:07 AM,sad,94.6
06:54:12 AM,sad,58.1
06:54:17 AM,sad,91.5
06:54:23 AM,sad,88.3
06:54:28 AM,sad,97.3
06:54:33 AM,sad,99.5
06:54:38 AM,sad,94.6
06:54:43 AM,sad,91.8
06:54:48 AM,sad,49.6
06:54:53 AM,sad,87.9
06:54:58 AM,sad,95.0
06:55:04 AM,sad,96.3
06:55:09 AM,sad,43.2
06:55:15 AM,sad,97.4
06:55:20 AM,sad,44.3
06:55:23 AM,angry,62.6
06:55:27 AM,sad,72.3
06:55:34 AM,sad,98.4
06:55:48 AM,sad,82.8
06:55:54 AM,sad,60.2
06:55:59 AM,sad,76.6
06:56:04 AM,sad,79.8
06:56:09 AM,sad,59.9
06:56:14 AM,angry,53.2
06:56:19 AM,angry,72.6
06:56:23 AM,sad,43.2
06:56:29 AM,sad,52.4
06:56:32 AM,neutral,96.4
06:56:36 AM,angry,61.6
06:56:37 AM,sad,75.6
06:56:42 AM,sad,60.8
06:56:47 AM,sad,51.3
06:56:52 AM,sad,46.3
06:57:01 AM,sad,85.0
06:57:14 AM,sad,86.3
06:57:25 AM,sad,65.6
06:57:37 AM,sad,92.0
06:57:42 AM,sad,67.3
06:57:44 AM,angry,89.2
06:57:50 AM,angry,99.0
06:57:57 AM,angry,91.0
06:58:06 AM,angry,84.5
06:58:12 AM,angry,85.4
06:58:17 AM,angry,98.1
06:59:17 AM,,69.7
06:59:21 AM,neutral,68.2
06:59:27 AM,neutral,57.6
06:59:29 AM,sad,95.0
06:59:34 AM,sad,50.0
06:59:39 AM,sad,51.7
06:59:44 AM,sad,72.8
06:59:49 AM,sad,71.4
06:59:54 AM,sad,86.1
06:59:59 AM,sad,99.0
07:00:05 AM,sad,47.5
07:00:10 AM,sad,88.3
07:00:15 AM,sad,98.0
07:00:52 AM,sad,52.6
07:01:05 AM,sad,82.0
07:01:29 AM,sad,47.9
07:01:43 AM,sad,55.1
07:02:12 AM,sad,48.9
07:02:17 AM,sad,98.6
07:02:22 AM,sad,93.2
07:02:27 AM,sad,92.0
07:02:32 AM,sad,99.8
07:02:37 AM,sad,98.3
07:02:43 AM,sad,99.0
07:02:48 AM,sad,89.8
07:02:53 AM,sad,92.9
07:02:58 AM,sad,95.6
07:03:03 AM,sad,90.2
07:03:09 AM,sad,44.3
07:03:14 AM,sad,77.3
07:03:19 AM,angry,96.5
07:03:24 AM,angry,59.3
07:03:40 AM,angry,62.3
07:03:46 AM,angry,66.0
07:03:54 AM,angry,59.8
07:03:59 AM,angry,99.0
07:03:59 AM,sad,98.7
07:04:04 AM,sad,97.0
07:04:09 AM,sad,93.8
07:04:14 AM,sad,51.7
07:04:24 AM,sad,94.8
07:04:29 AM,sad,96.5
07:04:34 AM,sad,74.3
07:04:47 AM,sad,94.0
07:04:53 AM,sad,95.7
07:05:24 AM,sad,55.8
07:05:25 AM,angry,26.8
07:05:42 AM,angry,89.9
07:05:47 AM,angry,50.0
07:05:54 AM,angry,68.8
07:06:06 AM,angry,64.9
07:06:11 AM,angry,93.5
07:06:12 AM,sad,94.3
07:06:17 AM,sad,61.8
07:06:22 AM,sad,53.4
07:06:28 AM,sad,95.2
07:06:33 AM,sad,86.3
07:06:38 AM,sad,97.6
07:06:43 AM,sad,55.9
07:06:48 AM,sad,91.0
07:06:53 AM,sad,92.9
07:06:58 AM,sad,98.5
07:07:04 AM,sad,55.8
07:07:09 AM,sad,91.6
07:07:14 AM,sad,57.4
07:07:19 AM,sad,53.8
07:07:24 AM,sad,75.1
07:07:30 AM,sad,66.7
07:08:51 AM,,64.3
07:08:55 AM,neutral,60.4
07:09:04 AM,neutral,70.7
07:09:09 AM,neutral,46.1
07:09:14 AM,neutral,51.5
07:09:19 AM,neutral,48.4
07:09:22 AM,angry,75.6
07:09:27 AM,angry,85.4
07:09:32 AM,angry,60.0
07:09:34 AM,sad,61.3
07:09:39 AM,sad,96.1
07:09:45 AM,sad,79.9
07:09:50 AM,sad,39.7
07:09:55 AM,sad,90.8
07:10:00 AM,sad,93.0
07:10:06 AM,sad,95.4
07:10:11 AM,sad,84.5
07:10:21 AM,sad,99.8
07:10:36 AM,sad,79.5
07:11:25 AM,sad,74.2
07:11:33 AM,sad,50.4
07:11:38 AM,sad,96.8
07:11:43 AM,sad,67.4
07:11:48 AM,sad,88.3
07:11:54 AM,sad,66.0
07:11:59 AM,sad,98.3
07:12:04 AM,sad,58.5
07:12:09 AM,sad,75.8
07:12:14 AM,sad,86.1
07:12:19 AM,sad,96.0
07:12:25 AM,sad,85.5
07:12:30 AM,sad,97.8
07:12:35 AM,sad,68.2
07:12:40 AM,sad,96.7
07:12:45 AM,sad,99.0
07:12:51 AM,sad,97.0
07:12:56 AM,sad,99.5
07:13:01 AM,sad,99.1
07:13:06 AM,sad,98.9
07:13:11 AM,sad,99.6
07:13:16 AM,sad,80.0
07:13:21 AM,sad,99.0
07:13:26 AM,sad,95.7
07:13:32 AM,sad,73.2
07:13:40 AM,sad,84.6
07:13:45 AM,sad,42.3
07:14:06 AM,sad,97.7
07:14:12 AM,sad,80.6
07:14:18 AM,sad,80.4
07:14:23 AM,sad,92.1
07:14:28 AM,sad,96.4
07:14:33 AM,sad,89.2
07:14:38 AM,sad,90.2
07:14:43 AM,sad,64.4
07:14:49 AM,sad,97.3
07:15:27 AM,sad,100.0
07:15:34 AM,sad,99.2
07:15:39 AM,sad,79.0
07:15:45 AM,sad,43.3
07:15:50 AM,sad,65.3
07:15:55 AM,sad,77.6
07:15:55 AM,angry,63.0
07:16:01 AM,angry,88.1
07:16:06 AM,angry,96.5
07:16:07 AM,sad,87.6
07:16:12 AM,sad,50.6
07:16:17 AM,sad,89.0
07:16:22 AM,sad,91.6
07:16:27 AM,sad,99.0
07:16:32 AM,sad,95.4
07:16:37 AM,sad,97.2
07:16:42 AM,sad,93.3
07:16:48 AM,sad,84.4
07:16:53 AM,sad,91.3
07:16:58 AM,sad,97.4
07:17:03 AM,sad,72.3
07:17:08 AM,sad,52.3
07:17:13 AM,sad,99.5
07:17:18 AM,sad,99.2
07:17:23 AM,sad,99.9
07:17:28 AM,sad,99.4
07:17:33 AM,sad,95.9
07:17:39 AM,sad,69.8
07:17:44 AM,sad,86.3
07:17:55 AM,sad,61.4
07:18:00 AM,sad,99.9
07:18:27 AM,sad,80.1
07:18:31 AM,angry,52.7
07:18:36 AM,angry,49.0
07:18:38 AM,sad,57.0
07:18:43 AM,sad,71.0
07:18:47 AM,angry,69.2
07:18:52 AM,angry,61.1
07:18:56 AM,sad,63.2
07:19:01 AM,sad,49.5
07:19:06 AM,sad,48.3
07:19:11 AM,sad,90.2
07:19:17 AM,sad,56.1
07:19:19 AM,angry,81.5
07:19:24 AM,angry,55.0
07:19:25 AM,sad,86.5
07:19:31 AM,sad,92.6
